SALARY,LEVEL,AIP,GLOBAL_BUSINESS,SECTOR,MEMBER_FIRM,GENDER,EDUCATION,HIRE_SOURCE,TOTAL_YOE,AIP_PERCENT
67000.0,Consultant,3600.0,Enabling Areas,Commercial,Deloitte US,Male,Bachelors,Experienced hire,4.0,5.0
205000.0,Senior manager,23000.0,Audit,Not applicable,Deloitte US,Prefer not to say,Bachelors,Experienced hire,20.0,11.0
109000.0,Senior consultant,10000.0,Tax,Not applicable,Deloitte US,Male,Master's Degree (non-MBA),Experienced hire,6.0,9.0
130000.0,Manager,18000.0,Tax,Not applicable,Deloitte US,Female,Master's Degree (non-MBA),Experienced hire,14.0,14.0
110700.0,Senior consultant,3000.0,Services,Not applicable,Deloitte US,Female,Bachelors,Experienced hire,15.0,3.0
170000.0,Senior manager,27000.0,Tax,Not applicable,Deloitte US,Female,Bachelors,Campus hire,9.0,16.0
67000.0,Consultant,3000.0,Services,Commercial,Deloitte US,Female,Bachelors,Campus hire,2.0,4.0
80000.0,Senior consultant,5000.0,Tax,Commercial,Deloitte US,Female,Master's Degree (non-MBA),Campus hire,5.0,6.0
130000.0,Manager,12000.0,Tax,Not applicable,Deloitte US,Prefer not to say,Master's Degree (non-MBA),Experienced hire,10.0,9.0
165000.0,Manager,20000.0,Advisory,Commercial,Deloitte US,Male,MBA,Campus hire,7.0,12.0
141400.0,Senior manager,11900.0,Services,Not applicable,Deloitte US,Male,Bachelors,Campus hire,14.0,8.0
108700.0,Manager,7500.0,Enabling Areas,Not applicable,Deloitte US,Male,Master's Degree (non-MBA),Experienced hire,6.0,7.0
82000.0,Analyst,,Consulting,Commercial,Deloitte US,Female,Master's Degree (non-MBA),Campus hire,1.0,
115000.0,Manager,16000.0,Tax,Not applicable,Deloitte US,Female,Bachelors,Experienced hire,8.0,14.0
143100.0,Manager,12500.0,Tax,Not applicable,Deloitte US,Female,Bachelors,Experienced hire,13.0,9.0
180000.0,Senior manager,30000.0,Consulting,Commercial,Deloitte US,Prefer not to say,Bachelors,Experienced hire,10.0,17.0
102000.0,Senior consultant,13550.0,Consulting,GPS,Deloitte US,Female,Bachelors,Campus hire,5.0,13.0
135000.0,Manager,15000.0,Tax,Not applicable,Deloitte US,Female,Master's Degree (non-MBA),Campus hire,6.0,11.0
150000.0,Manager,18000.0,Tax,Commercial,Deloitte US,Female,Doctorate,Experienced hire,10.0,12.0
,Manager,8500.0,Tax,Commercial,Deloitte US,Female,MBA,Experienced hire,9.0,
133000.0,Senior manager,18000.0,Tax,Not applicable,Deloitte US,Male,Bachelors,Campus hire,10.0,14.0
207000.0,Senior manager,20000.0,Advisory,Commercial,Deloitte US,Male,Master's Degree (non-MBA),Experienced hire,15.0,10.0
300000.0,Senior manager,15000.0,Consulting,Commercial,Deloitte US,Male,Master's Degree (non-MBA),Experienced hire,15.0,5.0
134000.0,Senior manager,14000.0,Tax,Not applicable,Deloitte US,Female,Bachelors,Campus hire,10.0,10.0
158000.0,Senior manager,18500.0,Audit,Not applicable,Deloitte US,Prefer not to say,Bachelors,Campus hire,12.0,12.0
153600.0,Senior manager,7200.0,Services,Not applicable,Deloitte US,Female,Master's Degree (non-MBA),Experienced hire,25.0,5.0
123000.0,Manager,15000.0,Tax,Not applicable,Deloitte US,Prefer not to say,Master's Degree (non-MBA),Experienced hire,8.5,12.0
130000.0,Manager,16000.0,Tax,Not applicable,Deloitte US,Male,J.D.,Experienced hire,8.0,12.0
128000.0,Manager,5000.0,Services,Not applicable,Deloitte US,Male,MBA,Experienced hire,15.0,4.0
100000.0,Senior consultant,,Consulting,Not applicable,Deloitte US,Prefer not to say,Master's Degree (non-MBA),Experienced hire,15.0,
127000.0,Senior manager,17500.0,Tax,Not applicable,Deloitte US,Male,Master's Degree (non-MBA),Campus hire,8.0,14.0
121000.0,Consultant,,Consulting,Commercial,Deloitte US,Male,Master's Degree (non-MBA),Experienced hire,7.5,
172000.0,Manager,52500.0,Consulting,Commercial,Deloitte US,Female,Master's Degree (non-MBA),Experienced hire,15.0,31.0
